sample_name	total_templates	total_reads	productive_templates	total_productive_reads	fraction_productive	total_rearrangements	productive_rearrangements	productive_clonality	max_productive_frequency	locus	sample_tags	sku	test_name
Subject5_preTx_unstim_Treg_run2	135113	4095272	108701	3294747	0.8045	104057	83441	0.0692	0.003374158939102775	TCRB	CD8+, Patient 4, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
Subject1_preTx_unstim_Treg_run2	33855	1772656	27327	1430865	0.8072	28488	22747	0.0451	0.0014347965193846326	TCRB	4-1BB+, Patient 1, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
Subject2_preTx_unstim_Treg_run2	137754	3809828	112404	3108746	0.8160	127016	103138	0.0296	5.52312764262273E-4	TCRB	CD4+, Patient 4, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
BuffyCoat_P_Treg+Bcells_41BB+CD40L-	41420	na	33667	na	0.8128	6202	4849	0.1109	0.0103959367	TCRB	4-1BB+, Buffy Coat, Control, Control 2, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
BuffyCoat_S_Treg+Bcells_41BB+CD40L-	85229	na	67046	na	0.7867	2846	2029	0.3192	0.0459535234	TCRB	4-1BB+, Buffy Coat, Control, Control 3, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
BuffyCoat_D_Treg+Bcells_41BB+CD40L-	32163	na	26671	na	0.8292	4688	3693	0.1458	0.0245210156	TCRB	4-1BB+, Buffy Coat, Control, Control 1, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject2_preTx_restim_CTLA4IgMLR	1181	103284	833	72913	0.7053	1151	805	0.0456	0.005719144947128088	TCRB	Patient 2, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, Unstimulated T Cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject5_Treg+Bcells_41BB+CD40L-	46631	2166133	38460	1786586	0.8248	4088	2975	0.3803	0.0818768293	TCRB	CD4+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject5_preTx_restim_CTLA4IgMLR	11203	798867	8904	634936	0.7948	9750	7663	0.0582	0.006225824487504886	TCRB	CD4+, Month 12, Patient 4, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject4_preTx_restim_CTLA4IgMLR	21109	1152411	16704	911938	0.7913	18452	14474	0.0791	0.025296675	TCRB	CD4+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject2_preTx_Treg+Bcells	33790	1337414	20035	792992	0.5929	1170	773	0.4795	0.150329381	TCRB	Patient 2, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, Unstimulated T Cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject4_Treg+Bcells_41BB+CD40L-	46404	2200273	36013	1707595	0.7761	2473	1813	0.5298	0.116785891	TCRB	Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject2_Treg+Bcells_41BB+CD40L-	25448	1870546	9383	689722	0.3687	1003	582	0.5357	0.336951703	TCRB	CD8+, Patient 4, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject4_preTx_Treg+Bcells	44465	1883537	35210	1491529	0.7919	2382	1671	0.5438	0.206858873	TCRB	CD4+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject1_Treg+Bcells_41BB+CD40L-	61514	2207784	49101	1762291	0.7982	4853	3608	0.3469	0.0617644861	TCRB	CD4+, Month 12, Patient 2, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject1_preTx_Treg+Bcells	52940	2025386	42231	1615714	0.7977	5256	3937	0.2840	0.0297397934	TCRB	Patient 1, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, Unstimulated T Cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
Subject1_preTx_restim_CTLA4IgMLR	114467	5620920	93514	4592051	0.8170	14188	10537	0.2309	0.009419756202916607	TCRB	Patient 1, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_CD8_CFSElow_run2	4508	na	3625	na	0.8041	2976	2340	0.0322	0.011586207	TCRB	Buffy Coat, CD8+, Control, Control 1, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl1_Treg+Bcells_run2	35493	na	29500	na	0.8311	5026	3910	0.1526	0.0238305088	TCRB	Buffy Coat, Control, Control 1, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl2_Treg+Bcells_run2	49640	na	39775	na	0.8013	8712	6868	0.1170	0.00965430607772019	TCRB	Buffy Coat, Control, Control 2, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl3_Treg+Bcells_run2	82011	na	62148	na	0.7578	3701	2667	0.3018	0.0580066927	TCRB	Buffy Coat, Control, Control 3, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl2_CD8_CFSElow	137285	na	122387	na	0.8915	7852	6078	0.4042	0.212833062	TCRB	Buffy Coat, CD8+, Control, Control 2, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl3_unstim_Treg	52590	na	40914	na	0.7780	32635	25163	0.0517	0.004595004114105684	TCRB	Buffy Coat, CD4+, Control, Control 3, Sorted Cells, T cells, T regulatory cells (Treg), Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl2_Treg+Bcells_run1	28437	na	22755	na	0.8002	6525	5139	0.1013	0.0100637218	TCRB	Buffy Coat, Control, Control 2, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl1_Treg+Bcells_run1	24198	na	20012	na	0.8270	4226	3329	0.1410	0.0288327001	TCRB	Buffy Coat, Control, Control 1, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl3_Treg+Bcells_run1	34122	na	26242	na	0.7691	2511	1836	0.2717	0.0694687888	TCRB	Buffy Coat, Control, Control 3, T cells, T regulatory cells (Treg), gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl2_primary_CTLA4Ig	141866	na	114279	na	0.8055	114642	92312	0.0255	0.0028001645673473704	TCRB	Buffy Coat, Control, Control 2, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
